line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L016,S008,65600,71333,00:01:05:18,He sold them and slowly began to rebuild his life.,男はそれを売って、少しずつ暮らしを立て直していきます。,El hombre los vendió y poco a poco comenzó a reconstruir su vida.,"Ele os vendeu e, aos poucos, começou a reconstruir a própria vida.",Ia menjual telur-telur itu dan perlahan mulai membangun kembali hidupnya.,남자는 그것을 팔고 조금씩 삶을 다시 세워 나갔습니다.,Adam onları sattı ve yavaş yavaş hayatını yeniden kurmaya başladı.
L017,S008,71333,77567,00:01:11:10,"He was able to buy food, and the house became calmer than before.",食べ物を買えるようになり、家の中も前より落ち着きました。,"Pudo comprar comida, y la casa se volvió más tranquila que antes.","Ele pôde comprar comida, e a casa ficou mais tranquila do que antes.","Ia bisa membeli makanan, dan suasana rumah menjadi lebih tenang daripada sebelumnya.","먹을 것을 살 수 있게 되었고, 집 안도 전보다 차분해졌습니다.",Yiyecek satın alabilir oldu ve ev eskisinden daha huzurlu bir hâle geldi.
L018,S009,77567,81000,00:01:17:17,It was not a great fortune.,大金ではありませんでした。,No era una gran fortuna.,Não era uma grande fortuna.,Itu bukanlah kekayaan yang besar.,큰돈은 아니었습니다.,Bu büyük bir servet değildi.
L019,S009,81000,88267,00:01:21:00,But one golden egg every morning gave the man a small sense of security.,けれど、毎朝ひとつの金の卵は、男に小さな安心をくれました。,Pero un huevo de oro cada mañana le daba al hombre una pequeña sensación de seguridad.,Mas um ovo de ouro todas as manhãs dava ao homem uma pequena sensação de segurança.,"Namun, satu telur emas setiap pagi memberi pria itu rasa aman yang kecil.",하지만 매일 아침 금알 하나는 남자에게 작은 안심을 주었습니다.,"Ama her sabah bir altın yumurta, adama küçük bir güven duygusu veriyordu."
L020,S009,88267,92167,00:01:28:08,Days like that continued for a while.,そんな毎日が、しばらく続きました。,Días así continuaron por un tiempo.,Dias assim continuaram por algum tempo.,Hari-hari seperti itu berlanjut untuk sementara waktu.,그런 날들이 한동안 계속되었습니다.,Böyle günler bir süre devam etti.
L021,S010,92167,97633,00:01:32:05,"Each morning, the man began to look into the nest.",男は朝になるたびに、巣の中をのぞくようになります。,"Cada mañana, el hombre comenzó a mirar dentro del nido.","A cada manhã, o homem começou a olhar para dentro do ninho.","Setiap pagi, pria itu mulai mengintip ke dalam sarang.",남자는 아침이 될 때마다 둥지 안을 들여다보게 됩니다.,Adam her sabah yuvanın içine bakmaya başladı.
L022,S010,97633,105467,00:01:37:19,"And little by little, he started to feel that finding a golden egg there was only natural.",そしてそこに金の卵があることを、少しずつ当たり前のように感じ始めました。,"Y poco a poco, comenzó a sentir que era completamente natural encontrar allí un huevo de oro.","E, pouco a pouco, ele começou a sentir que encontrar ali um ovo de ouro era algo natural.","Dan sedikit demi sedikit, ia mulai merasa bahwa menemukan telur emas di sana adalah hal yang wajar.",그리고 그곳에 금알이 있는 것을 조금씩 당연한 일처럼 느끼기 시작했습니다.,Ve yavaş yavaş orada bir altın yumurta bulmanın çok doğal bir şey olduğunu hissetmeye başladı.
L023,S010,105467,115600,00:01:45:14,"At first, he had been so surprised, but before long, that look on his face began to change into a calm one.",最初はあれほど驚いていたのに、いつしかその顔は落ち着いたものに変わっていきます。,"Al principio había estado muy sorprendido, pero antes de darse cuenta, esa expresión en su rostro empezó a cambiar por una más tranquila.","No começo, ele tinha ficado tão surpreso, mas, sem perceber, aquela expressão em seu rosto começou a se transformar numa mais calma.","Pada awalnya ia begitu terkejut, tetapi tanpa disadari, ekspresi di wajahnya perlahan berubah menjadi tenang.","처음에는 그렇게 놀랐는데도, 어느새 그의 얼굴은 차분한 표정으로 바뀌어 갔습니다.","İlk başta o kadar şaşırmıştı ki, ama farkına varmadan yüzündeki ifade sakin bir hâle dönüşmeye başladı."
L024,S011,115600,123033,00:01:55:18,"He felt relieved when the egg was there, and uneasy when he thought it might not be.",卵があると安心し、ないかもしれないと思うと落ち着きませんでした。,"Se sentía aliviado cuando el huevo estaba allí, y se inquietaba al pensar que tal vez no lo estuviera.",Ele se sentia aliviado quando o ovo estava ali e inquieto quando pensava que talvez não estivesse.,"Ia merasa lega saat telur itu ada di sana, dan merasa gelisah saat berpikir mungkin telur itu tidak ada.","알이 있으면 안심이 되었고, 없을지도 모른다고 생각하면 마음이 불안해졌습니다.","Yumurta oradaysa rahatlıyordu, olmayabileceğini düşündüğünde ise huzursuz oluyordu."
L025,S011,123033,127767,00:02:03:01,The man's life had become better than before.,男の暮らしは前より良くなっていました。,La vida del hombre había mejorado más que antes.,A vida do homem tinha melhorado em comparação com antes.,Hidup pria itu telah menjadi lebih baik daripada sebelumnya.,남자의 삶은 전보다 나아져 있었습니다.,Adamın yaşamı eskisinden daha iyi bir hâle gelmişti.
L026,S012,127767,135233,00:02:07:23,"But because of that, a feeling began to grow inside him that just one was not enough.",けれどそのぶん、ひとつだけでは足りないような気持ちも生まれていきます。,"Pero precisamente por eso, comenzó a crecer dentro de él la sensación de que solo uno no era suficiente.","Mas, por causa disso, começou a crescer dentro dele a sensação de que apenas um não era suficiente.","Namun karena itu, mulai tumbuh dalam dirinya perasaan bahwa satu saja tidaklah cukup.",하지만 그만큼 하나만으로는 부족하다는 마음도 그의 안에서 자라기 시작했습니다.,"Ama tam da bu yüzden, içinde bir tanenin yeterli olmadığına dair bir his büyümeye başladı."
L027,S012,135233,139233,00:02:15:07,One today. One tomorrow.,今日もひとつ。明日もひとつ。,Uno hoy. Uno mañana.,Um hoje. Um amanhã.,Satu hari ini. Satu besok.,오늘도 하나. 내일도 하나.,Bugün bir tane. Yarın bir tane.
L028,S013,139233,144433,00:02:19:07,"It should have been something to be grateful for, and yet,",確かにありがたいはずなのに、,"Debería haber sido algo por lo que sentirse agradecido, y aun así,","Deveria ter sido algo pelo qual ele se sentisse grato, e ainda assim,","Seharusnya itu adalah sesuatu yang patut disyukuri, tetapi,","분명 감사해야 할 일이었는데도,","Aslında şükredilmesi gereken bir şeydi, ama yine de,"
L029,S013,144433,150700,00:02:24:13,"that slowness began to stay in the man's heart, little by little.",その遅さが、少しずつ男の心に残るようになりました。,esa lentitud comenzó a quedarse poco a poco en el corazón del hombre.,"essa lentidão começou a permanecer, pouco a pouco, no coração do homem.",kelambatan itu mulai tinggal sedikit demi sedikit di dalam hati pria itu.,그 느림은 조금씩 남자의 마음속에 남기 시작했습니다.,o yavaşlık yavaş yavaş adamın kalbinde yer etmeye başladı.
L030,S014,150700,154700,00:02:30:21,"Each time he looked at the golden egg,",彼は金の卵を見るたびに、,"Cada vez que miraba el huevo de oro,","Cada vez que olhava para o ovo de ouro,","Setiap kali ia melihat telur emas itu,","그는 금알을 볼 때마다,","Altın yumurtaya her baktığında,"
L031,S014,154700,162667,00:02:34:21,"he began to look at it with eyes that were waiting for something, even before feeling joy.",喜びより先に、何かを待つような目をするようになっていったのです。,"empezó a mirarlo con unos ojos que esperaban algo, incluso antes de sentir alegría.","ele começou a olhar para ele com olhos que esperavam alguma coisa, antes mesmo de sentir alegria.","bahkan sebelum merasa senang, ia mulai memandangnya dengan mata yang seolah sedang menunggu sesuatu.",기쁨보다 먼저 무언가를 기다리는 듯한 눈으로 그것을 바라보게 되어 갔습니다.,"sevinç duymadan bile önce, onu sanki bir şey bekliyormuş gibi gözlerle bakmaya başladı."
L032,S015,162667,168533,00:02:42:20,"Before long, the man became obsessed with a single thought.",やがて男は、ひとつの考えにとりつかれるようになります。,"Antes de mucho tiempo, el hombre se obsesionó con una sola idea.","Em pouco tempo, o homem ficou obcecado por um único pensamento.","Tak lama kemudian, pria itu mulai terobsesi pada satu pikiran.",마침내 남자는 하나의 생각에 사로잡히게 됩니다.,Çok geçmeden adam tek bir düşünceye saplanıp kaldı.
L033,S015,168533,173933,00:02:48:16,"If this goose lays one golden egg every day,",毎日ひとつ金の卵を産むのなら、,"Si esta oca pone un huevo de oro cada día,","Se esta gansa põe um ovo de ouro todos os dias,","Jika angsa ini bertelur satu butir telur emas setiap hari,","이 거위가 매일 금알을 하나 낳는다면,","Eğer bu kaz her gün bir altın yumurta yumurtluyorsa,"
L034,S015,173933,178333,00:02:53:28,then maybe there is much more gold inside it.,このガチョウの中には、もっとたくさんの金があるのではないかと。,entonces quizá haya mucho más oro dentro de ella.,então talvez haja muito mais ouro dentro dela.,maka mungkin ada jauh lebih banyak emas di dalam tubuhnya.,그 안에는 훨씬 더 많은 금이 들어 있는 것이 아닐까 하고 생각했습니다.,o zaman belki de içinde çok daha fazla altın vardır.
L035,S016,178333,186133,00:02:58:10,"Once he started thinking that way, the man could no longer wait for morning as he had before.",そう思うと、男は前のように朝を待てなくなりました。,"Una vez que empezó a pensar así, el hombre ya no pudo esperar la mañana como antes.","Depois que começou a pensar assim, o homem já não conseguia esperar pela manhã como antes.","Begitu mulai berpikir seperti itu, pria itu tidak bisa lagi menunggu pagi seperti sebelumnya.",그렇게 생각하게 되자 남자는 예전처럼 아침을 기다릴 수 없게 되었습니다.,Böyle düşünmeye başladıktan sonra adam artık sabahı eskisi gibi bekleyemez oldu.
L036,S016,186133,192267,00:03:06:04,"Even if he got one egg today, his heart was not satisfied.",今日ひとつ手に入っても、心は満たされませんでした。,"Aunque consiguiera un huevo hoy, su corazón no se sentía satisfecho.","Mesmo que conseguisse um ovo naquele dia, seu coração não ficava satisfeito.","Bahkan jika ia mendapatkan satu telur hari ini, hatinya tidak merasa puas.",오늘 하나를 손에 넣어도 그의 마음은 만족되지 않았습니다.,"Bugün bir yumurta elde etse bile, kalbi tatmin olmuyordu."
L037,S016,192267,197533,00:03:12:08,Waiting for tomorrow suddenly felt very far away.,明日を待つことが、急に遠く感じられたのです。,Esperar hasta mañana de pronto le parecía algo muy lejano.,Esperar até amanhã de repente pareceu algo muito distante.,Menunggu sampai besok tiba-tiba terasa sangat jauh.,내일까지 기다리는 일이 갑자기 너무 멀게 느껴졌습니다.,Yarını beklemek birdenbire çok uzak gelmeye başladı.
L038,S017,197533,202133,00:03:17:16,The man looked at the goose again and again.,男は何度もガチョウを見ました。,El hombre miró a la oca una y otra vez.,O homem olhou para a gansa repetidas vezes.,Pria itu melihat angsa itu berulang kali.,남자는 거위를 몇 번이고 바라보았습니다.,Adam kazı tekrar tekrar seyretti.
L039,S017,202133,210367,00:03:22:04,"Each time he saw it walking quietly, he could not help thinking its belly was filled with gold.",静かに歩くその姿を見るたびに、腹の中に金が詰まっているように思えてしまいました。,"Cada vez que la veía caminar en silencio, no podía evitar pensar que su vientre estaba lleno de oro.","Cada vez que a via andando em silêncio, não conseguia evitar pensar que sua barriga estava cheia de ouro.","Setiap kali ia melihatnya berjalan dengan tenang, ia tidak bisa menahan diri untuk berpikir bahwa perutnya penuh dengan emas.","조용히 걷는 그 모습을 볼 때마다, 배 속에 금이 가득 들어 있는 것처럼 느껴졌습니다.","Onu her sessizce yürürken gördüğünde, karnının altınla dolu olduğunu düşünmeden edemiyordu."
L040,S018,210367,218100,00:03:30:11,"Rather than receiving one piece at a time each day, it would be better to get it all right now.",毎日ひとつずつ受け取るより、今すぐ全部手に入れた方がいい。,"En lugar de recibir una pieza cada día, sería mejor conseguirlo todo ahora mismo.","Em vez de receber uma peça por dia, seria melhor conseguir tudo agora mesmo.","Daripada menerima satu per satu setiap hari, lebih baik mendapatkan semuanya sekarang juga.",매일 하나씩 받는 것보다 지금 당장 전부 손에 넣는 편이 낫다.,"Her gün birer parça almak yerine, hepsini şimdi almak daha iyi olurdu."
L041,S018,218100,223233,00:03:38:03,That thought slowly grew bigger inside the man.,そんな考えが、少しずつ男の中で大きくなっていきます。,Ese pensamiento fue creciendo poco a poco dentro del hombre.,"Esse pensamento foi ficando maior, aos poucos, dentro do homem.",Pikiran itu perlahan menjadi semakin besar di dalam dirinya.,그런 생각은 조금씩 남자 안에서 커져 갔습니다.,Bu düşünce adamın içinde yavaş yavaş büyüdü.
L042,S019,223233,227267,00:03:43:07,Waiting was not the wise thing to do.,待つのは賢いことではない。,Esperar no era lo más sabio.,Esperar não era a coisa mais sábia a fazer.,Menunggu bukanlah hal yang bijak untuk dilakukan.,기다리는 것은 현명한 일이 아니다.,Beklemek akıllıca bir şey değildi.
L043,S019,227267,233667,00:03:47:08,He began telling himself that this was a decision to avoid losing out.,これは損をしないための決断なのだと、男は自分に言い聞かせ始めました。,Comenzó a decirse a sí mismo que esta era una decisión para no salir perdiendo.,Ele começou a dizer a si mesmo que aquela era uma decisão para evitar sair perdendo.,Ia mulai meyakinkan dirinya sendiri bahwa ini adalah keputusan agar tidak rugi.,"이것은 손해 보지 않기 위한 결정이라고, 남자는 스스로에게 되뇌기 시작했습니다.",Adam bunun zarara uğramamak için verilen bir karar olduğunu kendine söylemeye başladı.
L044,S019,233667,241000,00:03:53:20,"And once that thought took hold, it was no longer easy to make it disappear.",そしてその考えは、もう簡単には消えなくなっていました。,"Y una vez que ese pensamiento se apoderó de él, ya no fue fácil hacerlo desaparecer.","E, uma vez que esse pensamento tomou conta dele, já não era fácil fazê-lo desaparecer.","Dan begitu pikiran itu menguasainya, pikiran itu tidak lagi mudah dihilangkan.",그리고 그 생각은 이제 더 이상 쉽게 사라지지 않게 되었습니다.,"Ve bu düşünce bir kez aklına yerleşince, onu yok etmek artık kolay değildi."
L045,S020,241000,246400,00:04:01:00,"That morning, the man woke up earlier than usual.",その朝、男はいつもより早く目を覚ましました。,"Aquella mañana, el hombre se despertó más temprano de lo habitual.","Naquela manhã, o homem acordou mais cedo do que de costume.","Pagi itu, pria itu bangun lebih awal dari biasanya.","그날 아침, 남자는 평소보다 일찍 눈을 떴습니다.",O sabah adam her zamankinden daha erken uyandı.
L046,S020,246400,250067,00:04:06:12,There was no need to wait anymore.,もう待つ必要はない。,Ya no había necesidad de esperar.,Já não havia mais necessidade de esperar.,Tidak perlu menunggu lagi.,이제 더는 기다릴 필요가 없다.,Artık beklemeye gerek yoktu.
L047,S020,250067,255733,00:04:10:02,"As if saying that to himself, he walked toward the goose.",そう言うように、彼はガチョウに近づきます。,"Como si se lo estuviera diciendo a sí mismo, caminó hacia la oca.","Como se dissesse isso a si mesmo, ele caminhou em direção à gansa.","Seolah mengatakan itu kepada dirinya sendiri, ia berjalan mendekati angsa itu.","그렇게 자신에게 말하듯, 그는 거위에게 다가갑니다.","Sanki bunu kendine söylüyormuş gibi, kazın yanına doğru yürüdü."
L048,S021,255733,259467,00:04:15:22,His hands were trembling a little.,手は少し震えていました。,Sus manos temblaban un poco.,Suas mãos tremiam um pouco.,Tangannya sedikit gemetar.,그의 손은 조금 떨리고 있었습니다.,Ellerı biraz titriyordu.
L049,S021,259467,266167,00:04:19:14,"But the man believed that if he ended it here, he could get everything at once.",けれど男は、ここで終わらせれば、一度にすべてを手に入れられると信じていました。,"Pero el hombre creía que, si terminaba con esto aquí, podría obtenerlo todo de una sola vez.","Mas o homem acreditava que, se acabasse com aquilo ali, poderia conseguir tudo de uma só vez.","Namun, pria itu percaya bahwa jika ia mengakhirinya di sini, ia bisa mendapatkan semuanya sekaligus.",하지만 남자는 여기서 끝내면 한 번에 모든 것을 손에 넣을 수 있다고 믿고 있었습니다.,Ama adam buna burada son verirse her şeyi bir anda elde edebileceğine inanıyordu.
L050,S022,266167,271867,00:04:26:05,This was faster than waiting for one egg every morning.,毎朝ひとつを待つより、この方が早い。,Esto era más rápido que esperar un huevo cada mañana.,Isso era mais rápido do que esperar por um ovo todas as manhãs.,Ini lebih cepat daripada menunggu satu telur setiap pagi.,매일 아침 하나를 기다리는 것보다 이쪽이 더 빠르다.,"Bu, her sabah bir yumurta beklemekten daha hızlıydı."
L051,S022,271867,274833,00:04:31:26,This was wiser.,この方が賢い。,Esto era más sabio.,Isso era mais sábio.,Ini lebih bijak.,이쪽이 더 현명하다.,Bu daha akıllıcaydı.
L052,S023,274833,281900,00:04:34:25,"Telling himself that again and again, the man finally crossed the line.",そう自分に言い聞かせながら、男はついに一線を越えます。,"Repitiéndose eso una y otra vez, el hombre finalmente cruzó la línea.","Repetindo isso para si mesmo uma e outra vez, o homem finalmente cruzou a linha.","Sambil terus mengatakan itu kepada dirinya sendiri berulang kali, akhirnya pria itu melewati batas.","그렇게 스스로에게 몇 번이고 말하면서, 남자는 마침내 선을 넘습니다.","Bunu kendine tekrar tekrar söyleyerek, adam sonunda çizgiyi aştı."
L053,S023,281900,288333,00:04:41:27,"And in that moment, there was no going back to the life he had before.",そしてその瞬間、もう前の毎日には戻れなくなりました。,"Y en ese momento, ya no hubo forma de volver a la vida que había tenido antes.","E, naquele momento, já não havia como voltar à vida que tinha antes.","Dan pada saat itu, tidak ada lagi jalan untuk kembali ke kehidupan yang ia miliki sebelumnya.","그리고 그 순간, 그는 더 이상 이전의 삶으로 돌아갈 수 없게 되었습니다.","Ve o anda, artık önceki hayatına geri dönüş kalmamıştı."
L054,S024,288333,294133,00:04:48:10,But what the man saw was completely different from what he had imagined.,けれど、男が見たものは、思っていたものとはまったく違いました。,Pero lo que el hombre vio fue completamente distinto de lo que había imaginado.,Mas o que o homem viu era completamente diferente do que havia imaginado.,"Namun, apa yang dilihat pria itu sama sekali berbeda dari apa yang ia bayangkan.",하지만 남자가 본 것은 자신이 상상했던 것과는 완전히 달랐습니다.,"Ama adamın gördüğü şey, hayal ettiğinden tamamen farklıydı."
L055,S024,294133,299767,00:04:54:04,What was there was a body no different from any other goose.,そこにあったのは、ほかのガチョウと何も変わらない体でした。,Lo que había allí era un cuerpo que no era diferente del de cualquier otra oca.,O que havia ali era um corpo igual ao de qualquer outra gansa.,Yang ada di sana hanyalah tubuh yang tidak berbeda dari angsa lainnya.,그곳에 있던 것은 다른 거위와 다를 바 없는 몸이었습니다.,"Orada olan şey, diğer kazlardan hiçbir farkı olmayan bir bedendi."
L056,S024,299767,302800,00:04:59:23,There was no gold.,金はありませんでした。,No había oro.,Não havia ouro.,Tidak ada emas.,금은 없었습니다.,Altın yoktu.
L057,S024,302800,307000,00:05:02:24,"There was no hidden treasure, either.",隠された宝もありませんでした。,Tampoco había ningún tesoro escondido.,Também não havia nenhum tesouro escondido.,Tidak ada harta tersembunyi juga.,숨겨진 보물도 없었습니다.,Gizli bir hazine de yoktu.
L058,S025,307000,312533,00:05:07:00,"For a while, the man could not move from where he stood.",男はしばらく、その場で動くことができませんでした。,"Durante un rato, el hombre no pudo moverse de donde estaba.","Por um tempo, o homem não conseguiu sair do lugar onde estava.","Untuk beberapa saat, pria itu tidak bisa bergerak dari tempatnya berdiri.",남자는 한동안 그 자리에서 움직일 수 없었습니다.,Adam bir süre bulunduğu yerden kıpırdayamadı.
L059,S025,312533,316633,00:05:12:16,Only then did he finally understand.,ようやくわかったのです。,Solo entonces por fin lo entendió.,Só então ele finalmente entendeu.,Baru saat itulah ia akhirnya mengerti.,그제야 그는 마침내 알게 되었습니다.,Ancak o zaman sonunda anladı.
L060,S026,316633,321567,00:05:16:19,What he had lost was not some great mass of gold.,自分が失ったのは、大きな金ではありませんでした。,Lo que había perdido no era una gran masa de oro.,O que ele havia perdido não era uma grande massa de ouro.,Apa yang telah ia kehilangan bukanlah segumpal emas yang besar.,자신이 잃은 것은 거대한 금덩이가 아니었습니다.,Kaybettiği şey büyük bir altın yığını değildi.
L061,S026,321567,329000,00:05:21:17,"It was those golden eggs that had been coming to him, one by one, every morning.",毎朝ひとつずつ届いていた、あの金の卵でした。,"Eran esos huevos de oro que habían estado llegando a él, uno por uno, cada mañana.","Eram aqueles ovos de ouro que chegavam até ele, um por um, todas as manhãs.","Yang hilang adalah telur-telur emas itu, yang datang kepadanya satu per satu setiap pagi.",그것은 매일 아침 하나씩 자신에게 오고 있던 그 금알들이었습니다.,"Kaybettiği şey, her sabah ona birer birer gelen o altın yumurtalardı."
L062,S027,329000,333067,00:05:29:00,The thing that should have come again tomorrow.,明日も来るはずだったもの。,Aquello que debería haber llegado otra vez al día siguiente.,Aquilo que deveria ter vindo de novo no dia seguinte.,Sesuatu yang seharusnya datang lagi besok.,내일도 다시 와야 했던 것.,Ertesi gün yine gelmesi gereken şeydi.
L063,S027,333067,338367,00:05:33:02,The thing he should have received again the morning after that.,その次の朝にも、また手に入るはずだったもの。,Aquello que debería haber recibido de nuevo la mañana después de esa.,Aquilo que ele deveria ter recebido novamente na manhã seguinte àquela.,Sesuatu yang seharusnya ia terima lagi pada pagi setelahnya.,그다음 날 아침에도 다시 손에 넣었어야 했던 것.,Ondan sonraki sabah da yine eline geçmesi gereken şeydi.
L064,S028,338367,342467,00:05:38:11,"Trying to get everything all at once,",男は、一度にすべてを得ようとして、,"Al intentar conseguirlo todo de una sola vez,","Ao tentar conseguir tudo de uma só vez,","Karena mencoba mendapatkan semuanya sekaligus,","남자는 한 번에 모든 것을 얻으려다,","Adam her şeyi bir anda elde etmeye çalışırken,"
L065,S028,342467,349433,00:05:42:14,"the man had ended, with his own hands, the thing that had kept going.",続いていたものを自分の手で終わらせてしまったのです。,"el hombre había puesto fin, con sus propias manos, a aquello que había seguido continuando.","o homem tinha posto fim, com as próprias mãos, àquilo que continuava seguindo adiante.","pria itu telah mengakhiri, dengan tangannya sendiri, sesuatu yang seharusnya terus berlanjut.",계속 이어지던 것을 자기 손으로 끝내 버린 것이었습니다.,devam edip giden şeyi kendi elleriyle sona erdirmişti.
L066,S029,349433,352667,00:05:49:13,The room was quiet.,部屋は静かでした。,La habitación estaba en silencio.,O quarto estava em silêncio.,Ruangan itu sunyi.,방 안은 조용했습니다.,Oda sessizdi.
L067,S029,352667,356433,00:05:52:20,There was nothing left there anymore.,そこにはもう、何も残っていませんでした。,Ya no quedaba nada allí.,Já não restava mais nada ali.,Tidak ada apa pun lagi yang tersisa di sana.,그곳에는 이제 아무것도 남아 있지 않았습니다.,Orada artık hiçbir şey kalmamıştı.
L068,S030,356433,361600,00:05:56:13,"The next morning, the man woke up early again.",次の朝、男はまた早く目を覚ましました。,"A la mañana siguiente, el hombre volvió a despertarse temprano.","Na manhã seguinte, o homem acordou cedo outra vez.","Keesokan paginya, pria itu bangun pagi lagi.","다음 날 아침, 남자는 또다시 일찍 눈을 떴습니다.",Ertesi sabah adam yine erkenden uyandı.
L069,S030,361600,366933,00:06:01:18,"But now, there was no reason to hurry there anymore.",けれどもう、急いで向かう理由はありませんでした。,Pero ahora ya no había ninguna razón para apresurarse hacia allí.,Mas agora já não havia motivo para se apressar até lá.,"Namun sekarang, sudah tidak ada alasan lagi untuk bergegas ke sana.",하지만 이제는 그곳으로 서둘러 갈 이유가 없었습니다.,Ama artık oraya aceleyle gitmesi için hiçbir neden yoktu.
L070,S030,366933,372200,00:06:06:28,"Even so, he walked to the nest as he always did.",それでも彼は、いつものように巣の前まで歩いていきます。,"Aun así, caminó hasta el nido como siempre lo hacía.","Mesmo assim, ele caminhou até o ninho como sempre fazia.","Meski begitu, ia berjalan ke sarang itu seperti yang selalu ia lakukan.",그래도 그는 늘 그랬듯 둥지 앞으로 걸어갔습니다.,Yine de her zamanki gibi yuvaya doğru yürüdü.
