illustration_id,en,ja
i-0080,search,探す、検索する
i-0081,connect,つなぐ、関係づける
i-0082,model,手本、模型
i-0083,image,画像、印象
i-0084,character,性格、登場人物
i-0085,phrase,言い回し、語句
i-0086,region,地域、地方
i-0087,detail,詳細、細部
i-0088,item,項目、品物
i-0089,positive,前向きな、肯定的な
i-0090,negative,否定的な、消極的な
i-0091,current,現在の、最新の
i-0092,active,活動的な、積極的な
i-0093,necessary,必要な、不可欠な
i-0094,attend,出席する、参加する
i-0095,earn,稼ぐ、得る
i-0096,feed,餌を与える、養う
i-0097,match,合う、一致する
i-0098,hide,隠す、隠れる
i-0099,remove,取り除く、外す
i-0100,relax,くつろぐ、緊張を解く
i-0101,fashion,流行、ファッション
i-0102,pain,痛み、苦痛
i-0103,bill,請求書、法案
i-0104,content,内容、満足して
i-0105,audience,聴衆、観客
i-0106,surface,表面、水面
i-0107,topic,話題、主題
i-0108,option,選択肢、選択の自由
i-0109,entire,全体の、完全な
i-0110,obvious,明白な、はっきりした
i-0111,ordinary,普通の、平凡な
i-0112,previous,以前の、前の
i-0113,trust,信用する、信頼
i-0114,divide,分ける、分割する
i-0115,refuse,断る、拒否する
i-0116,flow,流れる、流れ
i-0117,web,ウェブ、クモの巣
i-0118,accurate,正確な、的確な
i-0119,convenient,便利な、都合のよい
i-0120,bite,かむ、かみつく
i-0121,spell,つづる、呪文
i-0122,breathe,呼吸する、息をする
i-0123,tip,コツ、助言
i-0124,stuff,もの、詰め込む
i-0125,narrow,狭い、限定的な
i-0126,freeze,凍る、凍らせる
i-0127,beat,打つ、打ち負かす
i-0128,rush,急ぐ、殺到する
i-0129,hang,掛ける、ぶら下がる
i-0130,celebrate,祝う、記念する
i-0131,fee,料金、手数料
i-0132,mood,気分、雰囲気
i-0133,quit,やめる、立ち去る
i-0134,trick,いたずら、手品
i-0135,melt,溶ける、溶かす
i-0136,lend,貸す
i-0137,scare,怖がらせる、脅かす
i-0138,row,列、口論
i-0139,greet,あいさつする、迎える
i-0140,mall,ショッピングモール
i-0141,recipe,レシピ、秘訣
i-0142,pour,注ぐ、降り注ぐ
i-0143,grab,つかむ、奪う
i-0144,fold,折りたたむ、折り目
i-0145,awful,ひどい、恐ろしい
i-0146,nod,うなずく、会釈する
i-0147,wipe,拭く
i-0148,click,クリックする、カチッという音
i-0149,therefore,したがって、それゆえ
i-0150,thus,このように、したがって
i-0151,formal,正式な、形式的な
i-0152,professional,専門的な、職業の
i-0153,realistic,現実的な
i-0154,rapid,急速な、素早い
i-0155,unique,独特の、唯一の
i-0156,effective,効果的な、有効な
i-0157,factor,要因、要素
i-0158,pattern,型、模様
i-0159,process,過程、工程
i-0160,risk,危険、危険性
i-0161,schedule,日程、予定
i-0162,standard,基準、標準
i-0163,addition,追加、加算
i-0164,climate,気候、風土
i-0165,consumer,消費者
i-0166,discussion,議論、話し合い
i-0167,protect,守る、保護する
i-0168,suggest,示唆する、提案する
i-0169,require,必要とする、要求する
i-0170,concern,懸念、関心
i-0171,involve,含む、伴う
i-0172,design,設計する、デザインする
i-0173,force,強制する、力
i-0174,limit,制限する、限界
i-0175,affect,影響する
i-0176,deal,対処する、取引
i-0177,relate,関連する、結びつく
i-0178,encourage,促す、励ます
i-0179,measure,測る、対策
i-0180,depend,依存する、頼る
i-0181,demand,要求する、需要
i-0182,influence,影響、影響力
i-0183,practice,練習、実践
i-0184,benefit,利益、利点
i-0185,issue,問題、課題
i-0186,experiment,実験
i-0187,focus,焦点、集中する
i-0188,quality,品質、質
i-0189,term,用語、期間
i-0190,material,材料、素材
i-0191,source,源、出所
i-0192,technology,技術、テクノロジー
i-0193,public,公の、公共の
i-0194,certain,確かな、特定の
i-0195,recent,最近の、近頃の
i-0196,major,主要な、専攻
i-0197,patient,患者、我慢強い
i-0198,particular,特定の、特別な
i-0199,available,利用できる、入手できる
i-0200,native,母国の、原産の
i-0201,ancient,古代の
i-0202,refer,言及する、参照する
i-0203,solve,解決する、解く
i-0204,occur,起こる、生じる
i-0205,express,表現する、述べる
i-0206,waste,無駄にする、浪費する
i-0207,achieve,達成する、成し遂げる
i-0208,supply,供給する、支給する
i-0209,suppose,思う、仮定する
i-0210,treat,扱う、治療する
i-0211,apply,適用する、申し込む
i-0212,prevent,防ぐ、予防する
i-0213,survive,生き残る、生き延びる
i-0214,opportunity,機会、好機
i-0215,task,課題、作業
i-0216,account,口座、説明
i-0217,figure,数字、人物
i-0218,emotion,感情、情緒
i-0219,stress,ストレス、強調する
i-0220,decade,10年間
i-0221,range,範囲、幅
i-0222,advantage,利点、強み
i-0223,damage,損害、損傷
i-0224,method,方法、手法
i-0225,medicine,薬、医学
i-0226,feature,特徴、特集する
i-0227,function,機能、働き
i-0228,income,収入、所得
i-0229,site,場所、現場
i-0230,habit,習慣、癖
i-0231,link,つながり、関連
i-0232,specific,特定の、具体的な
i-0233,official,公式の、公務員
i-0234,aware,気づいている、認識している
i-0235,digital,デジタルの
i-0236,mobile,携帯の、移動式の
i-0237,eventually,最終的に、やがて
i-0238,identify,特定する、確認する
i-0239,represent,表す、代表する
i-0240,indicate,示す、指し示す
i-0241,manage,管理する、何とかやり遂げる
i-0242,replace,取り替える、取って代わる
i-0243,sort,分類する、種類
i-0244,attempt,試みる、試み
i-0245,unite,団結させる、統一する
i-0246,attract,引きつける、魅了する
i-0247,decrease,減る、減少する
i-0248,ignore,無視する、見過ごす
i-0249,exchange,交換する、両替する
i-0250,display,表示する、展示する
i-0251,respond,反応する、応じる
i-0252,succeed,成功する
i-0253,device,装置、機器
i-0254,charge,料金、請求する
i-0255,colleague,同僚
i-0256,section,区分、部門
i-0257,crop,作物
i-0258,reward,報酬、報いる
i-0259,crime,犯罪
i-0260,fuel,燃料
i-0261,balance,均衡、バランス
i-0262,traffic,交通、往来
i-0263,aim,目標、目的
i-0264,track,跡、追跡する
i-0265,progress,進歩、前進
i-0266,ideal,理想的な、理想
i-0267,extra,追加の、余分な
i-0268,familiar,よく知っている、なじみのある
i-0269,equal,等しい、同等の
i-0270,false,誤った、偽の
i-0271,rare,まれな、珍しい
i-0272,actual,実際の、現実の
i-0273,examine,調べる、検査する
i-0274,judge,判断する、裁判官
i-0275,rely,頼る、依存する
i-0276,expand,拡大する、広げる
i-0277,confuse,混乱させる、困らせる
i-0278,select,選ぶ、選び抜く
i-0279,recall,思い出す、回収する
i-0280,destroy,破壊する、壊す
i-0281,organize,整理する、組織する
i-0282,warn,警告する、注意する
i-0283,surround,囲む、取り囲む
i-0284,complain,不満を言う、苦情を言う
i-0285,combine,組み合わせる、結合する
i-0286,extend,延長する、広げる
i-0287,target,目標、的
i-0288,profit,利益、利益を得る
i-0289,manner,作法、やり方
i-0290,vote,投票する、投票
i-0291,sight,光景、視力
i-0292,version,版、型
i-0293,disaster,災害、大惨事
i-0294,lecture,講義、講演
i-0295,court,裁判所、法廷
i-0296,desert,砂漠
i-0297,soil,土壌、土
i-0298,document,文書、書類
i-0299,vocabulary,語彙
i-0300,intelligent,賢い、知的な
i-0301,capable,できる、有能な
i-0302,typical,典型的な、よくある
i-0303,overseas,海外の、海外へ
i-0304,behave,振る舞う、行儀よくする
i-0305,recommend,勧める、推薦する
i-0306,amaze,驚かせる、感嘆させる
i-0307,tear,引き裂く、涙
i-0308,remind,思い出させる、注意させる
i-0309,deliver,配達する、届ける
i-0310,handle,扱う、対処する
i-0311,praise,褒める、賞賛する
i-0312,repair,修理する、修復する
i-0313,comment,意見、論評する
i-0314,religion,宗教
i-0315,neighborhood,近所、地域
i-0316,confidence,自信、確信
i-0317,harm,害、害する
i-0318,victim,被害者、犠牲者
i-0319,conference,会議、学会
i-0320,lawyer,弁護士
i-0321,comfort,快適さ、慰め
i-0322,multiple,複数の、多様な
i-0323,annual,毎年の、年1回の
i-0324,odd,奇妙な、奇数の
i-0325,unknown,未知の、知られていない
i-0326,translate,翻訳する
i-0327,concentrate,集中する、濃縮する
i-0328,request,要請する、要望
i-0329,inform,知らせる、伝える
i-0330,announce,発表する、告知する
i-0331,differ,異なる、違っている
i-0332,regret,後悔する、残念に思う
i-0333,disappoint,がっかりさせる、失望させる
i-0334,blame,責める、非難する
i-0335,recover,回復する、取り戻す
i-0336,arrange,手配する、並べる
i-0337,confirm,確認する、確定する
i-0338,budget,予算、予算を組む
i-0339,loan,貸付、融資
i-0340,duty,義務、任務
i-0341,emergency,緊急事態、非常時
i-0342,fellow,仲間、同僚
i-0343,route,経路、路線
i-0344,routine,日課、決まりごと
i-0345,grain,穀物、粒
i-0346,treasure,宝物、財宝
i-0347,curious,好奇心が強い、奇妙な
i-0348,anxious,不安な、心配している
i-0349,stable,安定した、落ち着いた
i-0350,brief,手短な、簡潔な
i-0351,visible,目に見える
i-0352,unexpected,予想外の、不意の
i-0353,initial,最初の、頭文字
i-0354,exact,正確な、厳密な
i-0355,react,反応する
i-0356,disagree,反対する、意見が合わない
i-0357,stare,じっと見つめる
i-0358,bother,悩ませる、面倒をかける
i-0359,stretch,伸ばす、広がる
i-0360,upset,動揺させる、腹を立てさせる
i-0361,frighten,怖がらせる
i-0362,sum,合計、金額
i-0363,tone,口調、音色
i-0364,award,賞、授与する
i-0365,clue,手がかり
i-0366,frame,枠、額縁
i-0367,shelter,避難所、避難させる
i-0368,trap,わな、閉じ込める
i-0369,discount,割引、値引きする
i-0370,solid,固体の、しっかりした
i-0371,rude,失礼な
i-0372,embarrass,恥ずかしい思いをさせる、困らせる
i-0373,annoy,いら立たせる、うんざりさせる
i-0374,admire,感心する、称賛する
i-0375,pretend,ふりをする
i-0376,bury,埋める、埋葬する
i-0377,assist,手伝う、支援する
i-0378,retire,退職する、引退する
i-0379,owe,借りがある、負っている
i-0380,license,免許、許可証
i-0381,layer,層
i-0382,globe,地球、世界
i-0383,league,連盟、リーグ
i-0384,contest,競技、異議を唱える
i-0385,guard,警備員、守る
i-0386,opponent,対戦相手、反対者
i-0387,glance,一目、ちらりと見る
i-0388,liquid,液体
i-0389,plain,明白な、質素な
i-0390,pure,純粋な、混じり気のない
i-0391,eager,熱望している、熱心な
i-0392,apologize,謝る
i-0393,rescue,救助する
i-0394,misunderstand,誤解する
i-0395,grocery,食料品店
i-0396,humor,ユーモア、気分
i-0397,courage,勇気
i-0398,stem,茎、幹
i-0399,shame,恥、残念なこと
i-0400,flavor,風味、特色
i-0401,portion,部分、(食事の)1人前
i-0402,chip,かけら、(電子)チップ
i-0403,precious,貴重な、大切な
i-0404,casual,気楽な、何気ない
i-0405,rough,粗い、乱暴な
i-0406,chase,追いかける、追跡する
i-0407,slip,滑る、うっかりミスする
i-0408,float,浮かぶ、漂う
i-0409,pause,一時停止する
i-0410,lean,傾く、寄りかかる
i-0411,bump,ぶつかる、こぶ
i-0412,wound,傷、傷つける
i-0413,fake,偽物の、にせの
i-0414,crack,ひび、割れる
i-0415,tap,軽くたたく、蛇口
i-0416,split,分ける、割れる
i-0417,heal,治す、治る
i-0418,cheat,だます、カンニングする
i-0419,bend,曲げる、身をかがめる
i-0420,bow,おじぎする、弓
i-0421,shade,日陰、陰
i-0422,file,ファイル、書類
i-0423,grateful,感謝している
i-0424,brave,勇敢な
i-0425,chew,かむ
i-0426,swallow,飲み込む、(感情などを)抑える
i-0427,polish,磨く
i-0428,sweep,掃く、一掃する
i-0429,mess,散らかった状態、混乱
i-0430,scenery,景色
i-0431,yawn,あくびをする
i-0432,blink,まばたきする
i-0433,spill,こぼす、漏らす
i-0434,forgive,許す
i-0435,pin,留め針、ピンで留める
i-0436,mild,穏やかな、(症状が)軽い
i-0437,yell,叫ぶ、怒鳴る
i-0438,rub,こする、塗り込む
i-0439,scratch,引っかく、かすり傷
i-0440,beg,懇願する
i-0441,sneeze,くしゃみをする
i-0442,suck,吸う、しゃぶる
i-0443,thirst,渇き、渇望
i-0444,dumb,ばかな、口のきけない
i-0445,furthermore,さらに
i-0446,moreover,その上
i-0447,otherwise,さもなければ、それ以外は
i-0448,alternative,代替の、代替案
i-0449,definite,明確な、確かな
i-0450,primary,主要な、第一の
i-0451,feedback,意見、反応
i-0452,foundation,基盤、土台
i-0453,tendency,傾向
i-0454,vision,構想、視力
i-0455,accuracy,正確さ
i-0456,application,申請、適用
i-0457,argument,議論、主張
i-0458,equality,平等
i-0459,analyze,分析する
i-0460,summarize,要約する
i-0461,cooperate,協力する
i-0462,tend,傾向がある
i-0463,challenge,難題、異議を唱える
i-0464,found,設立する
i-0465,species,種
i-0466,theory,理論
i-0467,statement,発言、声明
i-0468,evidence,証拠、根拠
i-0469,appropriate,適切な、ふさわしい
i-0470,likely,ありそうな
i-0471,individual,個々の、個人
i-0472,physical,身体の、物質の
i-0473,due,期限の、予定の
i-0474,despite,にもかかわらず
i-0475,argue,論じる、主張する
i-0476,claim,主張する、要求する
i-0477,advance,進める、進歩する
i-0478,establish,設立する、確立する
i-0479,perform,行う、演じる
i-0480,determine,決定する、見極める
i-0481,prove,証明する
i-0482,communicate,伝える、意思疎通する
i-0483,regard,みなす
i-0484,decline,減少する、断る
i-0485,suffer,苦しむ、被る
i-0486,publish,出版する、公表する
i-0487,industry,産業
i-0488,economy,経済
i-0489,policy,方針、政策
i-0490,trade,貿易、取引
i-0491,cell,細胞、独房
i-0492,impact,影響、衝撃
i-0493,resource,資源、手段
i-0494,access,利用、アクセスする
i-0495,attitude,態度、姿勢
i-0496,structure,構造、体系
i-0497,complex,複雑な
i-0498,mental,精神の
i-0499,essential,不可欠な、本質的な
i-0500,financial,財政の、金銭の
i-0501,academic,学術の、大学の
i-0502,worth,価値がある、値する
i-0503,potential,潜在的な、可能性
i-0504,maintain,維持する、主張する
i-0505,survey,調査する、見渡す
i-0506,conduct,実施する、行う
i-0507,associate,結びつける、連想する
i-0508,promote,促進する、昇進させる
i-0509,seek,求める、追求する
i-0510,observe,観察する、守る
i-0511,reveal,明らかにする、暴露する
i-0512,estimate,推定する、見積もる
i-0513,reflect,反映する、反射する
i-0514,define,定義する、明確にする
i-0515,adapt,適応する、改作する
i-0516,doubt,疑う、疑い
i-0517,assume,仮定する、思い込む
i-0518,satisfy,満足させる、満たす
i-0519,contrast,対比、対照する
i-0520,technique,手法、技術
i-0521,status,地位、状態
i-0522,race,人種、競争
i-0523,conflict,対立、衝突
i-0524,struggle,闘争、苦闘
i-0525,debate,討論、論争
i-0526,pollution,汚染、公害
i-0527,trend,傾向、流行
i-0528,basis,基礎、根拠
i-0529,ancestor,祖先
i-0530,efficient,効率のよい、無駄がない
i-0531,legal,法律の、合法の
i-0532,independent,独立した、無関係の
i-0533,extreme,極端な、過激な
i-0534,willing,進んでやる、いとわない
i-0535,urban,都市の、都会的な
i-0536,predict,予測する、予言する
i-0537,emerge,現れる、明らかになる
i-0538,vary,変わる、さまざまだ
i-0539,release,放出する、解放する
i-0540,enable,可能にする
i-0541,shift,移す、変える
i-0542,adopt,採用する、養子にする
i-0543,acquire,手に入れる、身につける
i-0544,consume,消費する、食べる
i-0545,convince,納得させる、確信させる
i-0546,operate,操作する、手術する
i-0547,participate,参加する
i-0548,host,主催する、主人
i-0549,appreciate,感謝する、評価する
i-0550,element,要素、元素
i-0551,atmosphere,大気、雰囲気
i-0552,origin,起源、由来
i-0553,personality,性格、個性
i-0554,threat,脅威
i-0555,resident,住民、居住者
i-0556,wealth,富、財産
i-0557,campaign,運動、キャンペーン
i-0558,fund,資金、基金
i-0559,symbol,象徴、記号
i-0560,analysis,分析
i-0561,crisis,危機
i-0562,gender,性別
i-0563,custom,慣習、税関
i-0564,fossil,化石
i-0565,firm,堅固な、会社
i-0566,overall,全体的な、総合的な
i-0567,rural,農村の、田舎の
i-0568,constant,一定の、絶え間ない
i-0569,severe,厳しい、深刻な
i-0570,enormous,巨大な、莫大な
i-0571,domestic,国内の、家庭の
i-0572,mass,大量の、大衆
i-0573,educate,教育する
i-0574,purchase,購入する、購入
i-0575,admit,認める、受け入れる
i-0576,generate,生み出す、発生させる
i-0577,explore,探検する、探求する
i-0578,settle,解決する、定住する
i-0579,afford,する余裕がある、与える
i-0580,conclude,結論づける、終える
i-0581,advertise,宣伝する
i-0582,encounter,出会う、遭遇する
i-0583,locate,突き止める、位置する
i-0584,aid,援助、助ける
i-0585,compete,競争する
i-0586,deny,否定する、認めない
i-0587,reject,拒否する、却下する
i-0588,intend,意図する、つもりだ
i-0589,propose,提案する、求婚する
i-0590,instruction,指示、説明書
i-0591,laboratory,研究室、実験室
i-0592,instrument,器具、楽器
i-0593,category,分類、部門
i-0594,capital,資本、首都
i-0595,outcome,結果、成果
i-0596,review,復習、評価
i-0597,occasion,機会、場合
i-0598,facility,施設、設備
i-0599,stock,在庫、株
i-0600,humanity,人類、人間性
i-0601,mammal,哺乳類
i-0602,quantity,量
i-0603,landscape,風景、景観
i-0604,organ,臓器、器官
i-0605,trial,試み、裁判
i-0606,code,規則、暗号
i-0607,numerous,数多くの
i-0608,sufficient,十分な
i-0609,proper,適切な、きちんとした
i-0610,strict,厳格な、厳しい
i-0611,violent,暴力的な、激しい
i-0612,immediate,即時の、直接の
i-0613,somewhat,やや、多少
i-0614,interpret,解釈する、理解する
i-0615,criticize,批判する、非難する
i-0616,overcome,克服する、乗り越える
i-0617,obtain,得る、手に入れる
i-0618,ensure,確実にする、保証する
i-0619,oppose,反対する、対抗する
i-0620,emphasize,強調する
i-0621,employ,雇う、用いる
i-0622,arise,生じる、起こる
i-0623,alter,変える、変更する
i-0624,absorb,吸収する、取り込む
i-0625,cure,治す、治療法
i-0626,transport,輸送する、運ぶ
i-0627,ban,禁止する、禁止
i-0628,adjust,調整する、適応する
i-0629,expense,出費、経費
i-0630,debt,借金、負債
i-0631,alarm,警報、不安
i-0632,minister,大臣、牧師
i-0633,candidate,候補者
i-0634,weapon,武器、兵器
i-0635,barrier,障壁、障害
i-0636,disadvantage,不利、不利な点
i-0637,motion,動き、動作
i-0638,myth,神話、作り話
i-0639,client,依頼人、顧客
i-0640,ingredient,材料、成分
i-0641,contract,契約、縮む
i-0642,dramatic,劇的な、大げさな
i-0643,minor,小さな、些細な
i-0644,flexible,柔軟な、融通が利く
i-0645,abandon,捨てる、断念する
i-0646,capture,捕らえる、捉える
i-0647,transfer,移す、移動する
i-0648,persuade,説得する、納得させる
i-0649,rent,賃借りする、家賃
i-0650,reserve,予約する、取っておく
i-0651,advise,助言する、忠告する
i-0652,attach,取り付ける、添付する
i-0653,disturb,妨げる、かき乱す
i-0654,crash,衝突する、墜落する
i-0655,permit,許可する、許可証
i-0656,impress,感動させる、印象づける
i-0657,suspect,疑う、容疑者
i-0658,import,輸入する、輸入
i-0659,export,輸出する、輸出
i-0660,calculate,計算する、算出する
i-0661,ease,和らげる、楽にする
i-0662,launch,開始する、打ち上げる
i-0663,witness,目撃者、目撃する
i-0664,honor,名誉、光栄
i-0665,priority,優先事項
i-0666,minimum,最小限、最小の
i-0667,bond,絆、債券
i-0668,virus,ウイルス
i-0669,insurance,保険
i-0670,district,地区、区域
i-0671,harvest,収穫、収穫する
i-0672,fault,過失、欠点
i-0673,dialogue,対話、会話
i-0674,frequent,頻繁な、しばしば起こる
i-0675,random,無作為の、でたらめな
i-0676,raw,生の、未加工の
i-0677,possess,所有する、持つ
i-0678,guarantee,保証する、保証
i-0679,discourage,やる気をなくさせる、思いとどまらせる
i-0680,exhaust,疲れ果てさせる、排気
i-0681,declare,宣言する、申告する
i-0682,secure,確保する、安全にする
i-0683,resist,抵抗する、耐える
i-0684,imitate,まねる、模倣する
i-0685,resemble,似ている
i-0686,collapse,崩壊する、倒れる
i-0687,protest,抗議する、抗議
i-0688,mission,使命、任務
i-0689,motor,モーター、原動力
i-0690,profession,職業、専門職
i-0691,editor,編集者
i-0692,agent,代理人、仲介者
i-0693,means,手段
i-0694,session,会合、授業
i-0695,divorce,離婚、離婚する
i-0696,guideline,指針、基準
i-0697,platform,基盤、プラットフォーム
i-0698,channel,経路、チャンネル
i-0699,fortune,財産、運
i-0700,artistic,芸術的な
i-0701,classic,古典的な、定番の
i-0702,concrete,具体的な、コンクリート
i-0703,slight,わずかな、かすかな
i-0704,temporary,一時的な
i-0705,guilty,有罪の、罪悪感がある
i-0706,incredible,信じがたい、すごい
i-0707,adequate,十分な、適切な
i-0708,approve,承認する、賛成する
i-0709,pile,積み重ねる、山
i-0710,deserve,値する、当然受ける
i-0711,defeat,打ち負かす、敗北
i-0712,endure,耐える、我慢する
i-0713,resolve,解決する、決意する
i-0714,register,登録する、記録する
i-0715,interrupt,中断する、邪魔する
i-0716,punish,罰する
i-0717,ruin,台無しにする、破滅
i-0718,defend,守る、防御する
i-0719,passion,情熱、熱中
i-0720,phase,段階、局面
i-0721,core,核心、中核
i-0722,faith,信頼、信仰
i-0723,luxury,ぜいたく、高級品
i-0724,council,議会、評議会
i-0725,generous,寛大な、気前がいい
i-0726,optimistic,楽観的な
i-0727,unpleasant,不快な、嫌な
i-0728,deaf,耳が聞こえない
i-0729,genuine,本物の、心からの
i-0730,instant,即時の、即席の
i-0731,spare,予備の、余分な
i-0732,harsh,厳しい、過酷な
i-0733,steady,着実な、安定した
i-0734,load,積み込む、荷物
i-0735,wander,歩き回る、さまよう
i-0736,pronounce,発音する、言い渡す
i-0737,shrink,縮む、縮小する
i-0738,restore,回復させる、復元する
i-0739,entertain,楽しませる、もてなす
i-0740,scan,読み取る、ざっと見る
i-0741,submit,提出する、服従する
i-0742,hesitate,ためらう、躊躇する
i-0743,pump,送り込む、ポンプ
i-0744,consult,相談する、診察する
i-0745,chart,図表、グラフ
i-0746,geography,地理
i-0747,semester,学期
i-0748,fate,運命
i-0749,maximum,最大限、最大の
i-0750,trail,小道、跡
i-0751,mixture,混合物、混合
i-0752,charm,魅力、魔力
i-0753,informal,くだけた、略式の
i-0754,alert,警戒している、警報
i-0755,cruel,残酷な、冷酷な
i-0756,modest,控えめな、謙虚な
i-0757,keen,熱心な、鋭い
i-0758,grasp,理解する、しっかりつかむ
i-0759,donate,寄付する、提供する
i-0760,arrest,逮捕する、逮捕
i-0761,burst,破裂する、突然始まる
i-0762,forbid,禁じる
i-0763,install,設置する、インストールする
i-0764,quote,引用する、引用
i-0765,obey,従う
i-0766,bully,いじめる、いじめっ子
i-0767,leap,跳ぶ、跳躍
i-0768,pitch,投げる、音の高さ
i-0769,input,入力、投入
i-0770,merit,利点、長所
i-0771,sympathy,同情、共感
i-0772,compliment,賛辞、褒め言葉
i-0773,ray,光線、光
i-0774,joint,関節、共同の
i-0775,curve,曲線、曲がる
i-0776,fantasy,空想、幻想
i-0777,brilliant,すばらしい、見事な
i-0778,innocent,無罪の、無邪気な
i-0779,shallow,浅い、浅はかな
i-0780,awkward,気まずい、不器用な
i-0781,proceed,進む、進行する
i-0782,surf,ネットを見て回る、波乗りをする
i-0783,grip,握る、握り
i-0784,fade,薄れる、色あせる
i-0785,spoil,台無しにする、甘やかす
i-0786,explode,爆発する、急増する
i-0787,decorate,飾る、装飾する
i-0788,caution,注意、用心
i-0789,scent,香り
i-0790,beverage,飲み物、飲料
i-0791,gallery,画廊、美術館
i-0792,fame,名声
i-0793,deadline,締め切り
i-0794,grave,墓、重大な
i-0795,column,欄、コラム
i-0796,tablet,錠剤、タブレット端末
i-0797,bitter,苦い、つらい
i-0798,tense,緊張した、時制
i-0799,fairy,妖精
i-0800,tackle,取り組む
i-0801,amuse,楽しませる
i-0802,spin,回転する、紡ぐ
i-0803,drag,引きずる、遅らせる
i-0804,dye,染める、染料
i-0805,rob,奪う、強盗する
i-0806,twist,ひねる、ねじる
i-0807,crush,押しつぶす、打ちのめす
i-0808,profile,プロフィール、人物像
i-0809,appetite,食欲、欲求
i-0810,script,台本、文字
i-0811,anniversary,記念日
i-0812,cattle,牛、家畜
i-0813,jail,刑務所、拘置所
i-0814,format,形式、書式
i-0815,decent,まずまずの、きちんとした
i-0816,ashamed,恥じている
i-0817,wireless,無線の
i-0818,whisper,ささやく
i-0819,swing,揺れる、振る
i-0820,dare,あえてする、挑む
i-0821,flip,ひっくり返す、はじく
i-0822,nightmare,悪夢、悪夢のような出来事
i-0823,rumor,うわさ
i-0824,gear,用具、歯車
i-0825,update,更新する、最新情報
i-0826,spray,吹きかける、散布
i-0827,sigh,ため息をつく
i-0828,headline,見出し、主要ニュース
i-0829,neat,きちんとした、すてきな
i-0830,tidy,整然とした、きちんとする
i-0831,crawl,はって進む、ゆっくり進む
i-0832,delete,削除する
i-0833,pray,祈る
i-0834,makeup,化粧、性格
i-0835,laundry,洗濯、洗濯物
i-0836,weird,奇妙な、変な
i-0837,sore,痛い、炎症を起こした
i-0838,flame,炎、燃え上がる
i-0839,plug,差し込む、プラグ
i-0840,tease,からかう、いじめる
i-0841,eclipse,日食、月食
i-0842,errand,用事、お使い
i-0843,outfit,服装一式、装備
i-0844,orphan,孤児
i-0845,hay,干し草
i-0846,furious,激怒した、猛烈な
i-0847,dizzy,めまいがする、目が回る
i-0848,consequently,その結果、したがって
i-0849,consistent,一貫した、矛盾しない
i-0850,diverse,多様な、さまざまな
i-0851,beneficial,有益な、ためになる
i-0852,considerable,かなりの、相当な
i-0853,emphasis,強調、重点
i-0854,objective,目的、目標
i-0855,procedure,手順、手続き
i-0856,assumption,仮定、想定
i-0857,capability,能力、性能
i-0858,collaboration,協力、共同作業
i-0859,concentration,集中、濃度
i-0860,criticism,批判、批評
i-0861,efficiency,効率
